state,action,value
"[0.1, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2]",3,-0.09743351379922742
"[0.1, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2]",4,-0.09623603965963
"[1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2]",0,-0.11167971950013689
"[1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2]",1,-0.11174145435022764
"[1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2]",2,-0.11180557849378628
"[1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2]",3,-0.1113049885627233
"[1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2]",4,-0.11187519966232604
"[1.0, 0.1, 1.0, 0.2, 0.2, 0.2, 0.2]",0,-0.11212533030045001
"[1.0, 0.1, 1.0, 0.2, 0.2, 0.2, 0.2]",1,-0.1172349711376864
"[1.0, 0.1, 1.0, 0.2, 0.2, 0.2, 0.2]",2,-0.11873286925277064
"[1.0, 0.1, 1.0, 0.2, 0.2, 0.2, 0.2]",3,-0.12298206714654795
"[1.0, 0.1, 1.0, 0.2, 0.2, 0.2, 0.2]",4,-0.019050106401458922
"[0.1, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2]",0,-0.028904999999999903
"[0.1, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2]",1,-0.020940024999999945
"[0.1, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2]",2,-0.020940024999999945
"[0.1, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2]",3,-0.0289049999999999
"[0.1, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2]",4,-0.019949999999999933
"[1.0, 0.5, 0.2, 0.1, 0.1, 0.2, 1.0]",0,2.240752269563912
"[1.0, 0.5, 0.2, 0.1, 0.1, 0.2, 1.0]",1,0.0
"[1.0, 0.5, 0.2, 0.1, 0.1, 0.2, 1.0]",2,0.0
"[1.0, 0.5, 0.2, 0.1, 0.1, 0.2, 1.0]",3,0.0
"[1.0, 0.5, 0.2, 0.1, 0.1, 0.2, 1.0]",4,0.0
"[0.1, 0.2, 0.1, 1.0, 1.0, 0.1, 1.0]",0,-0.02390982343500739
"[0.1, 0.2, 0.1, 1.0, 1.0, 0.1, 1.0]",1,-0.01982988012634637
"[0.1, 0.2, 0.1, 1.0, 1.0, 0.1, 1.0]",2,1.1940918367729991
"[0.1, 0.2, 0.1, 1.0, 1.0, 0.1, 1.0]",3,-0.02519663212959486
"[0.1, 0.2, 0.1, 1.0, 1.0, 0.1, 1.0]",4,-0.024543040419388252
"[0.0, 0.2, 1.0, 0.1, 1.0, 1.0, 0.2]",0,0.14094847431823973
"[0.0, 0.2, 1.0, 0.1, 1.0, 1.0, 0.2]",1,0.32150767900855476
"[0.0, 0.2, 1.0, 0.1, 1.0, 1.0, 0.2]",2,3.460818425632738
"[0.0, 0.2, 1.0, 0.1, 1.0, 1.0, 0.2]",3,0.18426336090781414
"[0.0, 0.2, 1.0, 0.1, 1.0, 1.0, 0.2]",4,0.0
"[0.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",0,0.749557089953796
"[0.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",1,0.6409033479780282
"[0.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",2,0.9731801251794427
"[0.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",3,0.23081392276828988
"[0.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",4,0.39664037713067946
"[0.0, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",0,1.2225484759174305
"[0.0, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",1,0.2973519305772017
"[0.0, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",2,0.46505085479102715
"[0.0, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",3,0.7882137307947267
"[0.0, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",4,0.2873425278815049
"[1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",0,-0.35634035183620777
"[1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",1,-0.3563234617209139
"[1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",2,-0.36050708244396235
"[1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",3,-0.3558593739931323
"[1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",4,-0.3560046535324368
"[0.1, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",0,-0.10223428081991268
"[0.1, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",1,-0.22742533875029136
"[0.1, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",2,0.024106044964356657
"[0.1, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",3,-0.26740869877837575
"[0.1, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",4,-0.2500063153210648
"[1.0, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",0,-0.33324754534879525
"[1.0, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",1,-0.33333204814260275
"[1.0, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",2,-0.33364725780445725
"[1.0, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",3,-0.25379033037357973
"[1.0, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",4,-0.33456208108855534
"[0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",0,-1.4640091221363656
"[0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",1,-1.4646237557030466
"[0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",2,-1.4645357389741958
"[0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",3,-1.4273198317659073
"[0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2]",4,-1.4647285453508365
"[0.2, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",0,-0.6581776256759259
"[0.2, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",1,-0.6613511308528506
"[0.2, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",2,-0.658870024913844
"[0.2, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",3,-0.6607242033984383
"[0.2, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2]",4,-0.665994534067611
"[1.0, 1.0, 0.2, 0.1, 0.1, 0.2, 1.0]",0,1.544779863051624
"[1.0, 1.0, 0.2, 0.1, 0.1, 0.2, 1.0]",1,0.0
"[1.0, 1.0, 0.2, 0.1, 0.1, 0.2, 1.0]",2,0.0
"[1.0, 1.0, 0.2, 0.1, 0.1, 0.2, 1.0]",3,0.0
"[1.0, 1.0, 0.2, 0.1, 0.1, 0.2, 1.0]",4,0.1867387304255255
"[1.0, 0.2, 0.1, 1.0, 1.0, 0.1, 1.0]",0,-0.030555618327978106
"[1.0, 0.2, 0.1, 1.0, 1.0, 0.1, 1.0]",1,0.6849723014007773
"[1.0, 0.2, 0.1, 1.0, 1.0, 0.1, 1.0]",2,0.010876678463497278
"[1.0, 0.2, 0.1, 1.0, 1.0, 0.1, 1.0]",3,0.007783222582960171
"[1.0, 0.2, 0.1, 1.0, 1.0, 0.1, 1.0]",4,-0.009025325284394252
"[0.0, 1.0, 0.1, 0.2, 0.2, 0.2, 0.3]",0,0.2599258427659109
"[0.0, 1.0, 0.1, 0.2, 0.2, 0.2, 0.3]",1,0.0
"[0.0, 1.0, 0.1, 0.2, 0.2, 0.2, 0.3]",2,0.009445646902497285
"[0.0, 1.0, 0.1, 0.2, 0.2, 0.2, 0.3]",3,0.0
"[0.0, 1.0, 0.1, 0.2, 0.2, 0.2, 0.3]",4,0.0
"[1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.3]",0,-0.17747646781644927
"[1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.3]",1,-0.1784012031688079
"[1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.3]",2,-0.17813845719675883
"[1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.3]",3,-0.17821259367864078
"[1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.3]",4,-0.1786611216475753
"[1.0, 0.1, 1.0, 0.2, 0.2, 0.2, 0.3]",0,0.058994145892251576
"[1.0, 0.1, 1.0, 0.2, 0.2, 0.2, 0.3]",1,-0.10910766739746067
"[1.0, 0.1, 1.0, 0.2, 0.2, 0.2, 0.3]",2,-0.10658958433166214
"[1.0, 0.1, 1.0, 0.2, 0.2, 0.2, 0.3]",3,-0.11120704243410062
"[1.0, 0.1, 1.0, 0.2, 0.2, 0.2, 0.3]",4,-0.10678131088257074
"[0.1, 0.1, 1.0, 0.2, 0.2, 0.2, 0.3]",0,-0.2194341196068703
"[0.1, 0.1, 1.0, 0.2, 0.2, 0.2, 0.3]",1,-0.1906797061509148
"[0.1, 0.1, 1.0, 0.2, 0.2, 0.2, 0.3]",2,0.0612217546785973
"[0.1, 0.1, 1.0, 0.2, 0.2, 0.2, 0.3]",3,-0.23057967772393423
"[0.1, 0.1, 1.0, 0.2, 0.2, 0.2, 0.3]",4,-0.12279518748107805
"[0.1, 1.0, 1.0, 0.2, 0.2, 0.2, 0.3]",0,-0.2933824437506084
"[0.1, 1.0, 1.0, 0.2, 0.2, 0.2, 0.3]",1,-0.29352786766060995
"[0.1, 1.0, 1.0, 0.2, 0.2, 0.2, 0.3]",2,-0.29392146500398975
"[0.1, 1.0, 1.0, 0.2, 0.2, 0.2, 0.3]",3,-0.29385051216057684
"[0.1, 1.0, 1.0, 0.2, 0.2, 0.2, 0.3]",4,-0.2939778300752281
"[0.2, 0.2, 0.0, 0.2, 1.0, 0.1, 0.0]",0,-0.009850748749999966
"[0.2, 0.2, 0.0, 0.2, 1.0, 0.1, 0.0]",1,-0.0009999999999999966
"[0.2, 0.2, 0.0, 0.2, 1.0, 0.1, 0.0]",2,0.022714996925902363
"[0.2, 0.2, 0.0, 0.2, 1.0, 0.1, 0.0]",3,-0.0005534614369292644
"[0.2, 0.2, 0.0, 0.2, 1.0, 0.1, 0.0]",4,0.0
"[0.2, 0.2, 0.0, 0.2, 0.2, 0.2, 0.1]",0,0.0
"[0.2, 0.2, 0.0, 0.2, 0.2, 0.2, 0.1]",1,1.0730548451072683
"[0.2, 0.2, 0.0, 0.2, 0.2, 0.2, 0.1]",2,0.0
"[0.2, 0.2, 0.0, 0.2, 0.2, 0.2, 0.1]",3,0.0
"[0.2, 0.2, 0.0, 0.2, 0.2, 0.2, 0.1]",4,0.0
"[0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.2]",0,0.32818163348319446
"[0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.2]",1,0.6630722665710255
"[0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.2]",2,3.3920016824912644
"[0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.2]",3,0.8245884715468675
"[0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.2]",4,0.8930135914930148
"[0.0, 0.0, 0.0, 1.0, 0.2, 0.2, 0.2]",0,0.1117065475559496
"[0.0, 0.0, 0.0, 1.0, 0.2, 0.2, 0.2]",1,0.17738775370754506
"[0.0, 0.0, 0.0, 1.0, 0.2, 0.2, 0.2]",2,1.0017388797950502
"[0.0, 0.0, 0.0, 1.0, 0.2, 0.2, 0.2]",3,0.16868861953811115
"[0.0, 0.0, 0.0, 1.0, 0.2, 0.2, 0.2]",4,0.1141131272525008
"[0.0, 0.0, 0.0, 0.1, 0.2, 0.2, 0.2]",0,0.35157769191611316
