state,action,value
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.3, 0.3]",4,-1.604650646076871
"[0.6, 0.8, 0.1, 0.6, 0.9, 0.6, 0.3]",0,0.0
"[0.6, 0.8, 0.1, 0.6, 0.9, 0.6, 0.3]",1,3.402539540949722
"[0.6, 0.8, 0.1, 0.6, 0.9, 0.6, 0.3]",2,0.0
"[0.6, 0.8, 0.1, 0.6, 0.9, 0.6, 0.3]",3,0.0
"[0.6, 0.8, 0.1, 0.6, 0.9, 0.6, 0.3]",4,2.01445621232
"[0.3, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]",0,3.3049806729210047
"[0.3, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]",1,3.286386943086919
"[0.3, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]",2,3.296994154264383
"[0.3, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]",3,3.551577152607019
"[0.3, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]",4,3.290042865144301
"[0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.8747572011806239
"[0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,1.437302648008399
"[0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2,1.2213305762150108
"[0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,2.174263159087155
"[0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4,3.089160926251636
"[0.3, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0.2649522556637746
"[0.3, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0.4542930969742812
"[0.3, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0]",2,0.36560427469192175
"[0.3, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0.44363516528573405
"[0.3, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0]",4,1.2775311426238423
"[0.3, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0]",0,-0.02030682712797831
"[0.3, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0]",1,0.13192364113078472
"[0.3, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0]",2,0.5699603217248173
"[0.3, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0]",3,0.02214294485411851
"[0.3, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0]",4,0.009430994931414577
"[0.3, 0.1, 0.1, 0.0, 0.0, 0.0, 0.1]",0,1.3379432201187427
"[0.3, 0.1, 0.1, 0.0, 0.0, 0.0, 0.1]",1,0.06417107401346295
"[0.3, 0.1, 0.1, 0.0, 0.0, 0.0, 0.1]",2,-0.023687294656194548
"[0.3, 0.1, 0.1, 0.0, 0.0, 0.0, 0.1]",3,0.07176266766837748
"[0.3, 0.1, 0.1, 0.0, 0.0, 0.0, 0.1]",4,-0.0020855322019817345
"[0.3, 0.1, 0.1, 0.1, 0.0, 0.0, 0.1]",0,0.11820932761933385
"[0.3, 0.1, 0.1, 0.1, 0.0, 0.0, 0.1]",1,-0.03790974999999987
"[0.3, 0.1, 0.1, 0.1, 0.0, 0.0, 0.1]",2,-0.029850249999999898
"[0.3, 0.1, 0.1, 0.1, 0.0, 0.0, 0.1]",3,-0.06732897037364798
"[0.3, 0.1, 0.1, 0.1, 0.0, 0.0, 0.1]",4,-0.046869476249999834
"[0.3, 0.1, 0.1, 0.1, 0.0, 0.1, 0.2]",0,0.0
"[0.3, 0.1, 0.1, 0.1, 0.0, 0.1, 0.2]",1,0.0
"[0.3, 0.1, 0.1, 0.1, 0.0, 0.1, 0.2]",2,0.0
"[0.3, 0.1, 0.1, 0.1, 0.0, 0.1, 0.2]",3,0.0
"[0.3, 0.1, 0.1, 0.1, 0.0, 0.1, 0.2]",4,0.0
"[0.3, 0.1, 0.0, 0.1, 0.0, 0.1, 0.2]",0,0.19029936734392205
"[0.3, 0.1, 0.0, 0.1, 0.0, 0.1, 0.2]",1,0.0
"[0.3, 0.1, 0.0, 0.1, 0.0, 0.1, 0.2]",2,0.0
"[0.3, 0.1, 0.0, 0.1, 0.0, 0.1, 0.2]",3,0.0
"[0.3, 0.1, 0.0, 0.1, 0.0, 0.1, 0.2]",4,0.0
"[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2]",0,-0.9850824594874464
"[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2]",1,-0.8814487068032065
"[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2]",2,-0.9744793684520119
"[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2]",3,-0.9126931685968105
"[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2]",4,-0.9470446981807616
"[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.3]",0,-0.8255815370204702
"[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.3]",1,-0.8258201886307701
"[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.3]",2,-0.8245647782640098
"[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.3]",3,-0.8276184891220513
"[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.3]",4,-0.6744802639438248
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",0,-0.841818035070591
"[0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.3]",1,-0.8418778144215622
